Timestamp,WeatherInfo
2023-12-25 22:25:00,EHAM 252225Z 26017KT 6000 RADZ FEW005 BKN007 BKN013 11/11 Q1003 NOSIG
2023-12-25 21:55:00,EHAM 252155Z 24022G35KT 210V280 6000 RADZ FEW004 BKN007 BKN012 11/11 Q1003 REDZRA TEMPO 4500
2023-12-25 21:25:00,EHAM 252125Z 22007KT 210V270 3500 DZRA SCT003 BKN006 BKN012 10/10 Q1003 TEMPO 6000
2023-12-25 20:55:00,EHAM 252055Z 24009KT 4500 DZRA FEW004 BKN007 BKN017 10/09 Q1004 TEMPO 6000
2023-12-25 20:25:00,EHAM 252025Z 24012KT 3500 DZRA FEW005 SCT007 BKN018 10/09 Q1004 TEMPO 6000 BKN007
2023-12-25 19:55:00,EHAM 251955Z 24015KT 8000 -RADZ FEW006 BKN025 10/10 Q1004 TEMPO 6000
2023-12-25 19:25:00,EHAM 251925Z 24014KT 210V280 9999 -RA FEW006 SCT030 BKN043 10/09 Q1005 TEMPO 7000
2023-12-25 18:55:00,EHAM 251855Z 24018KT 9999 -RA FEW006 SCT039 11/09 Q1005 TEMPO 7000
2023-12-25 18:25:00,EHAM 251825Z 25016KT 9999 -RA FEW006 11/10 Q1005 NOSIG
2023-12-25 17:55:00,EHAM 251755Z 24016KT 9999 -RA FEW008 11/10 Q1005 NOSIG
2023-12-25 17:25:00,EHAM 251725Z 24017KT 210V270 9999 -RA FEW007 12/10 Q1005 NOSIG
2023-12-25 16:55:00,EHAM 251655Z 24018KT 9999 -RA FEW008 12/10 Q1005 NOSIG
2023-12-25 16:25:00,EHAM 251625Z 24016KT 200V280 9999 -RA FEW008 BKN037 12/10 Q1006 NOSIG
2023-12-25 15:55:00,EHAM 251555Z 24017KT 9999 FEW008 SCT012 BKN038 12/10 Q1006 NOSIG
2023-12-25 15:25:00,EHAM 251525Z 24016KT 9999 FEW008 BKN041 12/10 Q1006 NOSIG
2023-12-25 14:55:00,EHAM 251455Z 24013KT 220V280 9999 FEW008 BKN040 12/10 Q1006 NOSIG
2023-12-25 14:25:00,EHAM 251425Z 25016KT 220V280 9999 FEW015 SCT048 12/09 Q1006 NOSIG
2023-12-25 13:55:00,EHAM 251355Z 25014KT 9999 FEW016 12/09 Q1006 NOSIG
2023-12-25 13:25:00,EHAM 251325Z 25016KT 9999 FEW016 12/09 Q1006 NOSIG
2023-12-25 12:55:00,EHAM 251255Z 26016KT 9999 FEW014 12/09 Q1006 NOSIG
2023-12-25 12:25:00,EHAM 251225Z 25015KT 220V280 9999 FEW014 SCT038 12/09 Q1006 NOSIG
2023-12-25 11:55:00,EHAM 251155Z 25014KT 9999 FEW014 SCT038 12/09 Q1006 NOSIG
2023-12-25 11:25:00,EHAM 251125Z 25013KT 230V290 9999 FEW025 12/09 Q1006 NOSIG
2023-12-25 10:55:00,EHAM 251055Z 25014KT 9999 FEW030 12/09 Q1006 NOSIG
2023-12-25 10:25:00,EHAM 251025Z 24013KT 210V270 9999 FEW025 11/09 Q1006 NOSIG
2023-12-25 09:55:00,EHAM 250955Z 25012KT 200V270 9999 FEW008 12/10 Q1006 NOSIG
2023-12-25 09:25:00,EHAM 250925Z 25012KT 9999 FEW008 11/10 Q1006 NOSIG
2023-12-25 08:55:00,EHAM 250855Z 25011KT 9999 FEW008 11/10 Q1005 NOSIG
2023-12-25 08:25:00,EHAM 250825Z 25011KT 9999 FEW008 11/10 Q1005 NOSIG
2023-12-25 07:55:00,EHAM 250755Z 25009KT 9999 FEW008 11/10 Q1005 NOSIG
2023-12-25 07:25:00,EHAM 250725Z 26010KT 9999 -RA FEW035 11/09 Q1005 NOSIG
2023-12-25 06:55:00,EHAM 250655Z 26014KT CAVOK 11/09 Q1005 NOSIG
2023-12-25 06:25:00,EHAM 250625Z 26015KT 9999 FEW010 11/10 Q1004 NOSIG
2023-12-25 05:55:00,EHAM 250555Z 26016KT 220V280 9999 FEW009 12/10 Q1004 NOSIG
2023-12-25 05:25:00,EHAM 250525Z 25016KT 220V280 9999 FEW009 SCT026 12/10 Q1004 NOSIG
2023-12-25 04:55:00,EHAM 250455Z 25016G26KT 210V280 9999 FEW009 12/10 Q1004 NOSIG
2023-12-25 04:25:00,EHAM 250425Z 25020G30KT 220V280 9999 FEW010 SCT031 12/10 Q1004 NOSIG
2023-12-25 03:55:00,EHAM 250355Z 25021G32KT 9999 FEW010 SCT031 12/10 Q1004 NOSIG
2023-12-25 03:25:00,EHAM 250325Z 25023G33KT 220V280 9999 FEW010 SCT030 12/10 Q1004 NOSIG
2023-12-25 02:55:00,EHAM 250255Z 25020G30KT 220V280 9999 FEW007 SCT009 BKN025 11/10 Q1004 NOSIG
2023-12-25 02:25:00,EHAM 250225Z 25020G30KT 220V280 9999 FEW009 SCT022 BKN038 12/10 Q1004 NOSIG
2023-12-25 01:55:00,EHAM 250155Z 25021G31KT 9999 -RA FEW009 SCT022 BKN045 12/10 Q1003 NOSIG
2023-12-25 01:25:00,EHAM 250125Z 25020G30KT 9999 FEW010 BKN045 12/10 Q1003 NOSIG
2023-12-25 00:55:00,EHAM 250055Z 25022G34KT 220V280 9999 FEW009 12/10 Q1003 NOSIG
2023-12-25 00:25:00,EHAM 250025Z 25023G33KT 220V280 9999 FEW008 SCT010 12/10 Q1003 NOSIG
2023-12-24 23:55:00,EHAM 242355Z 24024G35KT 210V280 9999 FEW007 BKN009 12/11 Q1003 BECMG SCT035
2023-12-24 23:25:00,EHAM 242325Z 24023G33KT 210V280 9999 FEW007 SCT009 12/11 Q1003 NOSIG
2023-12-24 22:55:00,EHAM 242255Z 24025KT 9999 -RA FEW007 SCT010 12/11 Q1003 NOSIG
2023-12-24 22:25:00,EHAM 242225Z 24024G37KT 210V270 9999 SCT010 12/11 Q1003 NOSIG
2023-12-24 21:55:00,EHAM 242155Z 24026G36KT 200V270 9999 FEW009 12/11 Q1002 NOSIG
2023-12-24 21:25:00,EHAM 242125Z 24023KT 210V270 9999 FEW009 12/11 Q1002 NOSIG
2023-12-24 20:55:00,EHAM 242055Z 24024KT 9999 FEW009 SCT011 12/11 Q1002 NOSIG
2023-12-24 20:25:00,EHAM 242025Z 24024G35KT 210V270 9999 FEW009 SCT011 12/10 Q1002 NOSIG
2023-12-24 19:55:00,EHAM 241955Z 24024G35KT 9999 FEW009 SCT011 12/11 Q1002 NOSIG
2023-12-24 19:25:00,EHAM 241925Z 24024KT 210V270 9999 FEW009 BKN011 12/11 Q1002 BECMG SCT013
