flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.generic.status.text,flight.aircraft.model.code,flight.airline.short,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time,Timestamp,WeatherInfo,time.of.day,month,season,day.of.week,temp,dew.pt,vis,pressure,wind.speed,isDelayed?
KL1477,KLM55C,False,departed,E75S,KLM,20231229,1610,1703862600,1703863313,20231229,1621,2023-12-29 16:10:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,0
BA439,BAW439M,False,departed,A319,British Airways,20231229,1610,1703862600,1703864434,20231229,1640,2023-12-29 16:10:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL897,KLM897,True,departed,B789,KLM,20231229,1615,1703862900,1703864154,20231229,1635,2023-12-29 16:15:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL1989,KLM1989,False,departed,E190,KLM,20231229,1615,1703862900,1703863838,20231229,1630,2023-12-29 16:15:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,0
KL1053,KLM51E,False,departed,B738,KLM,20231229,1615,1703862900,1703864003,20231229,1633,2023-12-29 16:15:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL1357,KLM53D,True,departed,E190,KLM,20231229,1615,1703862900,1703866775,20231229,1719,2023-12-29 16:15:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL947,KLM99U,True,departed,E75S,KLM,20231229,1620,1703863200,1703866051,20231229,1707,2023-12-29 16:20:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
FR3101,RYR1VG,True,departed,B738,Ryanair,20231229,1620,1703863200,1703863451,20231229,1624,2023-12-29 16:20:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,0
KL1247,KLM1247,False,departed,E190,KLM,20231229,1625,1703863500,1703864768,20231229,1646,2023-12-29 16:25:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1831,KLM81N,False,departed,B738,KLM,20231229,1625,1703863500,1703863943,20231229,1632,2023-12-29 16:25:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
UC1505,LCO1505,False,departed,B763,LATAM Cargo,20231229,1630,1703863800,1703858282,20231229,1458,2023-12-29 16:30:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
VY8310,VLG88FB,True,departed,A320,Vueling,20231229,1630,1703863800,1703865208,20231229,1653,2023-12-29 16:30:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL963,KLM29W,True,departed,B737,KLM,20231229,1630,1703863800,1703865057,20231229,1650,2023-12-29 16:30:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL989,KLM59M,False,departed,E190,KLM,20231229,1630,1703863800,1703864529,20231229,1642,2023-12-29 16:30:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
KL1521,KLC1521,False,departed,E75S,KLM,20231229,1635,1703864100,1703864954,20231229,1649,2023-12-29 16:35:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
KL1549,KLM73E,True,departed,E190,German Airways,20231229,1635,1703864100,1703866153,20231229,1709,2023-12-29 16:35:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1149,KLM1149,True,departed,E295,KLM,20231229,1635,1703864100,1703865452,20231229,1657,2023-12-29 16:35:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
