,flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.text,flight.status.generic.status.text,flight.status.generic.status.color,flight.status.generic.eventTime.utc_date,flight.status.generic.eventTime.utc_time,flight.aircraft.model.code,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time
152,HV5807,None,False,Scheduled,scheduled,gray,,,B738,20231228,1000,1703754000,None,,
153,JU361,None,False,Scheduled,scheduled,gray,,,73H,20231228,1000,1703754000,None,,
154,KL605,KLM605,False,Estimated dep 10:10,estimated,green,20231228,1010,B789,20231228,1000,1703754000,None,,
155,OS372,None,False,Scheduled,scheduled,gray,,,A320,20231228,1000,1703754000,None,,
156,BT618,None,False,Scheduled,scheduled,gray,,,223,20231228,1000,1703754000,None,,
157,QR8156,None,False,Scheduled,scheduled,gray,,,77X,20231228,1000,1703754000,None,,
158,BA8450,None,False,Estimated dep 10:05,estimated,green,20231228,1005,E190,20231228,1005,1703754300,None,,
159,KL515,None,False,Scheduled,scheduled,gray,,,B77W,20231228,1005,1703754300,None,,
160,KL661,KLM661,False,Estimated dep 10:15,estimated,green,20231228,1015,B789,20231228,1005,1703754300,None,,
161,KL689,KLM689,False,Estimated dep 10:15,estimated,green,20231228,1015,B78X,20231228,1005,1703754300,None,,
162,KL1641,None,False,Scheduled,scheduled,gray,,,E190,20231228,1005,1703754300,None,,
163,KL1975,None,False,Scheduled,scheduled,gray,,,B737,20231228,1005,1703754300,None,,
164,KL1669,None,False,Scheduled,scheduled,gray,,,B738,20231228,1005,1703754300,None,,
165,KL1143,None,False,Scheduled,scheduled,gray,,,B737,20231228,1010,1703754600,None,,
166,KL1363,None,False,Scheduled,scheduled,gray,,,B739,20231228,1010,1703754600,None,,
167,BA8496,None,False,Estimated dep 10:10,estimated,green,20231228,1010,E190,20231228,1010,1703754600,None,,
168,BT858,None,False,Scheduled,scheduled,gray,,,223,20231228,1010,1703754600,None,,
169,DL133,DAL133,False,Estimated dep 10:10,estimated,green,20231228,1010,A333,20231228,1010,1703754600,None,,
170,KL1343,None,False,Scheduled,scheduled,gray,,,E190,20231228,1010,1703754600,None,,
171,BA429,None,False,Estimated dep 10:15,estimated,green,20231228,1015,A20N,20231228,1015,1703754900,None,,
172,KL751,None,False,Scheduled,scheduled,gray,,,B772,20231228,1015,1703754900,None,,
173,KL1855,None,False,Scheduled,scheduled,gray,,,E190,20231228,1015,1703754900,None,,
174,AF1341,None,False,Scheduled,scheduled,gray,,,BCS3,20231228,1020,1703755200,None,,
175,FB462,LZB462,False,Estimated dep 10:34,estimated,green,20231228,1034,A320,20231228,1020,1703755200,None,,
176,KL597,None,False,Scheduled,scheduled,gray,,,B77W,20231228,1020,1703755200,None,,
177,BT962,None,False,Scheduled,scheduled,gray,,,223,20231228,1020,1703755200,None,,
178,KL591,None,False,Scheduled,scheduled,gray,,,B772,20231228,1020,1703755200,None,,
179,KL1009,None,False,Scheduled,scheduled,gray,,,B738,20231228,1020,1703755200,None,,
180,UA21,UAL21,False,Estimated dep 10:41,estimated,yellow,20231228,1041,B772,20231228,1020,1703755200,None,,
181,VY8301,None,False,Estimated dep 10:25,estimated,green,20231228,1025,A20N,20231228,1025,1703755500,None,,
182,SK552,SAS62L,False,Estimated dep 10:39,estimated,green,20231228,1039,CRJ9,20231228,1025,1703755500,None,,
183,SQ323,None,False,Scheduled,scheduled,gray,,,A359,20231228,1025,1703755500,None,,
184,DL143,DAL143,False,Estimated dep 10:30,estimated,green,20231228,1030,A333,20231228,1030,1703755800,None,,
185,LO266,None,False,Scheduled,scheduled,gray,,,E75S,20231228,1030,1703755800,None,,
186,VY8355,None,False,Estimated dep 10:30,estimated,green,20231228,1030,A20N,20231228,1030,1703755800,None,,
187,DL161,DAL161,False,Estimated dep 10:35,estimated,green,20231228,1035,A339,20231228,1035,1703756100,None,,
188,KL1583,None,False,Scheduled,scheduled,gray,,,E75S,20231228,1035,1703756100,None,,
189,KL1109,None,False,Scheduled,scheduled,gray,,,B738,20231228,1040,1703756400,None,,
190,U22922,None,False,Estimated dep 10:40,estimated,green,20231228,1040,A21N,20231228,1040,1703756400,None,,
191,KL705,None,False,Scheduled,scheduled,gray,,,B789,20231228,1040,1703756400,None,,
192,SK822,None,False,Scheduled,scheduled,gray,,,32N,20231228,1040,1703756400,None,,
193,KL735,None,False,Scheduled,scheduled,gray,,,B77W,20231228,1045,1703756700,None,,
194,BA2541,None,False,Estimated dep 10:55,estimated,green,20231228,1055,A320,20231228,1050,1703757000,None,,
195,LH989,None,False,Scheduled,scheduled,gray,,,A319,20231228,1050,1703757000,None,,
196,OR1601,None,False,Scheduled,scheduled,gray,,,B38M,20231228,1050,1703757000,None,,
197,DL73,DAL73,False,Estimated dep 10:55,estimated,green,20231228,1055,A333,20231228,1055,1703757300,None,,
198,U27925,None,False,Estimated dep 10:55,estimated,green,20231228,1055,A319,20231228,1055,1703757300,None,,
199,KL791,None,False,Scheduled,scheduled,gray,,,B77W,20231228,1055,1703757300,None,,
